name,gender,medal_type,discipline,age
EVENEPOEL Remco,Male,Gold Medal,Cycling Road,24
GANNA Filippo,Male,Silver Medal,Cycling Road,28
van AERT Wout,Male,Bronze Medal,Cycling Road,30
BROWN Grace,Female,Gold Medal,Cycling Road,32
HENDERSON Anna,Female,Silver Medal,Cycling Road,26
DYGERT Chloe,Female,Bronze Medal,Cycling Road,27
OH Sanguk,Male,Gold Medal,Fencing,28
FERJANI Fares,Male,Silver Medal,Fencing,27
SAMELE Luigi,Male,Bronze Medal,Fencing,37
KONG Man Wai Vivian,Female,Gold Medal,Fencing,30
MALLO-BRETON Auriane,Female,Silver Medal,Fencing,31
MUHARI Eszter,Female,Bronze Medal,Fencing,22
SMETOV Yeldos,Male,Gold Medal,Judo,32
MKHEIDZE Luka,Male,Silver Medal,Judo,28
NAGAYAMA Ryuju,Male,Bronze Medal,Judo,28
GARRIGOS Francisco,Male,Bronze Medal,Judo,30
TSUNODA Natsumi,Female,Gold Medal,Judo,32
BAVUUDORJ Baasankhuu,Female,Silver Medal,Judo,25
BOUKLI Shirine,Female,Bronze Medal,Judo,25
BABULFATH Tara,Female,Bronze Medal,Judo,18
MAERTENS Lukas,Male,Gold Medal,Swimming,23
WINNINGTON Elijah,Male,Silver Medal,Swimming,24
KIM Woomin,Male,Bronze Medal,Swimming,23
TITMUS Ariarne,Female,Gold Medal,Swimming,24
McINTOSH Summer,Female,Silver Medal,Swimming,18
LEDECKY Katie,Female,Bronze Medal,Swimming,27
FOX Jessica,Female,Gold Medal,Canoe Slalom,30
ZWOLINSKA Klaudia,Female,Silver Medal,Canoe Slalom,26
WOODS Kimberley,Female,Bronze Medal,Canoe Slalom,29
FERRAND PREVOT Pauline,Female,Gold Medal,Cycling Mountain Bike,32
BATTEN Haley,Female,Silver Medal,Cycling Mountain Bike,26
RISSVEDS Jenny,Female,Bronze Medal,Cycling Mountain Bike,30
KANO Koki,Male,Gold Medal,Fencing,27
BOREL Yannick,Male,Silver Medal,Fencing,36
ELSAYED Mohamed,Male,Bronze Medal,Fencing,26
ELSAYED Mohamed,Male,Bronze Medal,Fencing,21
KIEFER Lee,Female,Gold Medal,Fencing,30
SCRUGGS Lauren,Female,Silver Medal,Fencing,21
HARVEY Eleanor,Female,Bronze Medal,Fencing,29
ABE Hifumi,Male,Gold Medal,Judo,27
LIMA Willian,Male,Silver Medal,Judo,24
KYRGYZBAYEV Gusman,Male,Bronze Medal,Judo,32
VIERU Denis,Male,Bronze Medal,Judo,28
KELDIYOROVA Diyora,Female,Gold Medal,Judo,26
KRASNIQI Distria,Female,Silver Medal,Judo,29
PIMENTA Larissa,Female,Bronze Medal,Judo,25
BUCHARD Amandine,Female,Bronze Medal,Judo,29
XIE Yu,Male,Gold Medal,Shooting,24
MALDINI Federico Nilo,Male,Silver Medal,Shooting,23
MONNA Paolo,Male,Bronze Medal,Shooting,26
OH Ye Jin,Female,Gold Medal,Shooting,19
KIM Yeji,Female,Silver Medal,Shooting,32
BHAKER Manu,Female,Bronze Medal,Shooting,22
YOSHIZAWA Coco,Female,Gold Medal,Skateboarding,15
AKAMA Liz,Female,Silver Medal,Skateboarding,15
LEAL Rayssa,Female,Bronze Medal,Skateboarding,16
MARTINENGHI Nicolo,Male,Gold Medal,Swimming,25
PEATY Adam,Male,Silver Medal,Swimming,30
FINK Nic,Male,Silver Medal,Swimming,31
MARCHAND Leon,Male,Gold Medal,Swimming,22
MATSUSHITA Tomoyuki,Male,Silver Medal,Swimming,19
FOSTER Carson,Male,Bronze Medal,Swimming,23
HUSKE Torri,Female,Gold Medal,Swimming,22
WALSH Gretchen,Female,Silver Medal,Swimming,21
ZHANG Yufei,Female,Bronze Medal,Swimming,26
GESTIN Nicolas,Male,Gold Medal,Canoe Slalom,24
BURGESS Adam,Male,Silver Medal,Canoe Slalom,32
BENUS Matej,Male,Bronze Medal,Canoe Slalom,37
PIDCOCK Thomas,Male,Gold Medal,Cycling Mountain Bike,25
KORETZKY Victor,Male,Silver Medal,Cycling Mountain Bike,30
HATHERLY Alan,Male,Bronze Medal,Cycling Mountain Bike,28
JUNG Michael,Male,Gold Medal,Equestrian,42
BURTON Christopher,Male,Silver Medal,Equestrian,43
COLLETT Laura,Female,Bronze Medal,Equestrian,35
CHEUNG Ka Long,Male,Gold Medal,Fencing,27
MACCHI Filippo,Male,Silver Medal,Fencing,23
ITKIN Nick,Male,Bronze Medal,Fencing,25
APITHY-BRUNET Manon,Female,Gold Medal,Fencing,28
BALZER Sara,Female,Silver Medal,Fencing,29
KHARLAN Olga,Female,Bronze Medal,Fencing,34
HEYDAROV Hidayat,Male,Gold Medal,Judo,27
GABA Joan-Benjamin,Male,Silver Medal,Judo,23
OSMANOV Adil,Male,Bronze Medal,Judo,24
HASHIMOTO Soichi,Male,Bronze Medal,Judo,33
DEGUCHI Christa,Female,Gold Medal,Judo,29
HUH Mimi,Female,Silver Medal,Judo,22
FUNAKUBO Haruka,Female,Bronze Medal,Judo,26
CYSIQUE Sarah Leonie,Female,Bronze Medal,Judo,26
SHENG Lihao,Male,Gold Medal,Shooting,20
LINDGREN Victor,Male,Silver Medal,Shooting,21
MARICIC Miran,Male,Bronze Medal,Shooting,27
BAN Hyojin,Female,Gold Medal,Shooting,17
HUANG Yuting,Female,Silver Medal,Shooting,18
GOGNIAT Audrey,Female,Bronze Medal,Shooting,22
HORIGOME Yuto,Male,Gold Medal,Skateboarding,25
EATON Jagger,Male,Silver Medal,Skateboarding,23
HUSTON Nyjah,Male,Bronze Medal,Skateboarding,30
CECCON Thomas,Male,Gold Medal,Swimming,23
XU Jiayu,Male,Silver Medal,Swimming,29
MURPHY Ryan,Male,Bronze Medal,Swimming,29
POPOVICI David,Male,Gold Medal,Swimming,20
RICHARDS Matthew,Male,Silver Medal,Swimming,22
HOBSON Luke,Male,Bronze Medal,Swimming,21
SMITH Tatjana,Female,Gold Medal,Swimming,27
TANG Qianting,Female,Silver Medal,Swimming,20
Mc SHARRY Mona,Female,Bronze Medal,Swimming,24
O'CALLAGHAN Mollie,Female,Gold Medal,Swimming,20
TITMUS Ariarne,Female,Silver Medal,Swimming,24
HAUGHEY Siobhan Bernadette,Female,Bronze Medal,Swimming,27
McINTOSH Summer,Female,Gold Medal,Swimming,18
GRIMES Katie,Female,Silver Medal,Swimming,18
WEYANT Emma,Female,Bronze Medal,Swimming,23
NAGASE Takanori,Male,Gold Medal,Judo,31
GRIGALASHVILI Tato,Male,Silver Medal,Judo,25
LEE Joonhwan,Male,Bronze Medal,Judo,22
MAKHMADBEKOV Somon,Male,Bronze Medal,Judo,25
LESKI Andreja,Female,Gold Medal,Judo,27
AWITI ALCARAZ Prisca,Female,Silver Medal,Judo,28
AGBEGNENOU Clarisse,Female,Bronze Medal,Judo,32
FAZLIU Laura,Female,Bronze Medal,Judo,24
