discipline,total_medals,Percentage,Gap_to_Parity,Projected_Growth
Athletics,222,9.84478935698448,0,222
Swimming,219,9.711751662971176,3,222
Rowing,144,6.385809312638581,78,222
Football,124,5.498891352549889,98,222
Judo,105,4.656319290465632,117,222
Hockey,102,4.523281596452328,120,222
Handball,94,4.168514412416852,128,222
Fencing,90,3.9911308203991127,132,222
Cycling Track,87,3.8580931263858096,135,222
Water Polo,78,3.458980044345898,144,222
Volleyball,78,3.458980044345898,144,222
Rugby Sevens,78,3.458980044345898,144,222
Basketball,72,3.1929046563192904,150,222
Wrestling,72,3.1929046563192904,150,222
Artistic Gymnastics,67,2.9711751662971175,155,222
Shooting,54,2.394678492239468,168,222
Boxing,52,2.305986696230599,170,222
Equestrian,45,1.9955654101995564,177,222
Sailing,42,1.862527716186253,180,222
Diving,36,1.5964523281596452,186,222
Canoe Sprint,36,1.5964523281596452,186,222
Taekwondo,32,1.4190687361419068,190,222
Table Tennis,30,1.3303769401330376,192,222
Weightlifting,30,1.3303769401330376,192,222
Archery,30,1.3303769401330376,192,222
Artistic Swimming,27,1.197339246119734,195,222
Tennis,24,1.06430155210643,198,222
3x3 Basketball,24,1.06430155210643,198,222
Badminton,23,1.0199556541019956,199,222
Triathlon,18,0.7982261640798226,204,222
Canoe Slalom,18,0.7982261640798226,204,222
Cycling Road,12,0.532150776053215,210,222
Sport Climbing,12,0.532150776053215,210,222
Beach Volleyball,12,0.532150776053215,210,222
Skateboarding,12,0.532150776053215,210,222
Surfing,6,0.2660753880266075,216,222
Golf,6,0.2660753880266075,216,222
Marathon Swimming,6,0.2660753880266075,216,222
Breaking,6,0.2660753880266075,216,222
Trampoline Gymnastics,6,0.2660753880266075,216,222
Cycling BMX Racing,6,0.2660753880266075,216,222
Cycling Mountain Bike,6,0.2660753880266075,216,222
Cycling BMX Freestyle,6,0.2660753880266075,216,222
Modern Pentathlon,6,0.2660753880266075,216,222
