country,medal_type,event,medal_count
AIN,Bronze Medal,Men's 102kg,1
AIN,Gold Medal,Men,1
AIN,Silver Medal,Men's Single Sculls,1
AIN,Silver Medal,Women,1
AIN,Silver Medal,Women's Doubles,2
Albania,Bronze Medal,Men's Freestyle 65kg,1
Albania,Bronze Medal,Men's Freestyle 74kg,1
Algeria,Bronze Medal,Men's 800m,1
Algeria,Gold Medal,Women's 66kg,1
Algeria,Gold Medal,Women's Uneven Bars,1
Argentina,Bronze Medal,Women,16
Argentina,Gold Medal,Men's Park,1
Argentina,Silver Medal,Mixed Multihull,2
Armenia,Bronze Medal,Men's Greco-Roman 77kg,1
Armenia,Silver Medal,Men's +102kg,1
Armenia,Silver Medal,Men's Greco-Roman 97kg,1
Armenia,Silver Medal,Men's Vault,1
Australia,Bronze Medal,Marathon Race Walk Relay Mixed,2
Australia,Bronze Medal,Men's 4 x 200m Freestyle Relay,6
Australia,Bronze Medal,Men's 57kg,1
Australia,Bronze Medal,Men's Discus Throw,1
Australia,Bronze Medal,Men's Kayak Double 500m,2
Australia,Bronze Medal,Men's Keirin,1
Australia,Bronze Medal,Men's Team Sprint,4
Australia,Bronze Medal,Mixed 4 x 100m Medley Relay,8
Australia,Bronze Medal,Trap Women,1
Australia,Bronze Medal,Women,12
Australia,Bronze Medal,Women's 200m Individual Medley,1
Australia,Bronze Medal,Women's 20km Race Walk,1
Australia,Bronze Medal,Women's 75kg,1
Australia,Bronze Medal,Women's High Jump,1
Australia,Bronze Medal,Women's Pair,2
Australia,Bronze Medal,Women's Park,1
Australia,Gold Medal,Men's 50m Freestyle,1
Australia,Gold Medal,Men's Dinghy,1
Australia,Gold Medal,Men's Doubles,2
Australia,Gold Medal,Men's Park,1
Australia,Gold Medal,Men's Team Pursuit,5
Australia,Gold Medal,Women,1
Australia,Gold Medal,Women's 100m Backstroke,1
Australia,Gold Medal,Women's 200m Backstroke,1
Australia,Gold Medal,Women's 200m Freestyle,1
Australia,Gold Medal,Women's 4 x 100m Freestyle Relay,6
Australia,Gold Medal,Women's 4 x 200m Freestyle Relay,6
Australia,Gold Medal,Women's 400m Freestyle,1
Australia,Gold Medal,Women's Canoe Single,1
Australia,Gold Medal,Women's Individual Time Trial,1
Australia,Gold Medal,Women's Kayak Cross,1
Australia,Gold Medal,Women's Kayak Single,1
Australia,Gold Medal,Women's Park,1
Australia,Gold Medal,Women's Pole Vault,1
Australia,Silver Medal,Eventing Individual,1
Australia,Silver Medal,Men,1
Australia,Silver Medal,Men's 100m Freestyle,1
Australia,Silver Medal,Men's 200m Breaststroke,1
Australia,Silver Medal,Men's 4 x 100m Freestyle Relay,5
Australia,Silver Medal,Men's 400m Freestyle,1
Australia,Silver Medal,Men's Kayak Four 500m,4
Australia,Silver Medal,Men's Keirin,1
Australia,Silver Medal,Men's Sprint,1
Australia,Silver Medal,Men's Windsurfing,1
Australia,Silver Medal,Women,13
Australia,Silver Medal,Women's 10km,1
Australia,Silver Medal,Women's 1500m,1
Australia,Silver Medal,Women's 200m Freestyle,1
Australia,Silver Medal,Women's 3m Springboard,1
Australia,Silver Medal,Women's 4 x 100m Medley Relay,8
Australia,Silver Medal,Women's 50m Freestyle,1
Australia,Silver Medal,Women's 800m Freestyle,1
Australia,Silver Medal,Women's High Jump,1
Austria,Bronze Medal,Men's Boulder & Lead,1
Austria,Bronze Medal,Women -70 kg,1
Austria,Bronze Medal,Women's Boulder & Lead,1
Austria,Gold Medal,Men's Kite,1
Austria,Gold Medal,Mixed Dinghy,2
Azerbaijan,Bronze Medal,Men's Freestyle 125kg,1
Azerbaijan,Bronze Medal,Men's Freestyle 97kg,1
Azerbaijan,Bronze Medal,Men's Greco-Roman 67kg,1
Azerbaijan,Gold Medal,Men -100 kg,1
Azerbaijan,Gold Medal,Men -73 kg,1
Azerbaijan,Silver Medal,Men -58kg,1
Azerbaijan,Silver Medal,Men's 92kg,1
Bahrain,Bronze Medal,Men's +102kg,1
Bahrain,Gold Medal,Men's Freestyle 97kg,1
Bahrain,Gold Medal,Women's 3000m Steeplechase,1
Bahrain,Silver Medal,Women's 400m,1
Belgium,Bronze Medal,Men's Individual Time Trial,1
Belgium,Bronze Medal,Men's Omnium,1
Belgium,Bronze Medal,Women -67kg,1
Belgium,Bronze Medal,Women -70 kg,1
Belgium,Bronze Medal,Women's Heptathlon,1
Belgium,Bronze Medal,Women's Road Race,1
Belgium,Gold Medal,Men's Individual Time Trial,1
Belgium,Gold Medal,Men's Road Race,1
Belgium,Gold Medal,Women's Heptathlon,1
Belgium,Silver Medal,Men's Marathon,1
Botswana,Gold Medal,Men's 200m,1
Botswana,Silver Medal,Men's 4 x 400m Relay,6
Brazil,Bronze Medal,Men,1
Brazil,Bronze Medal,Men -68kg,1
Brazil,Bronze Medal,Men's 400m Hurdles,1
Brazil,Bronze Medal,Men's Park,1
Brazil,Bronze Medal,Mixed Team,10
Brazil,Bronze Medal,Women,13
Brazil,Bronze Medal,Women -52 kg,1
Brazil,Bronze Medal,Women's 60kg,1
Brazil,Bronze Medal,Women's Street,1
Brazil,Bronze Medal,Women's Team,5
Brazil,Gold Medal,Women,2
Brazil,Gold Medal,Women +78 kg,1
Brazil,Gold Medal,Women's Floor Exercise,1
Brazil,Silver Medal,Men -66 kg,1
Brazil,Silver Medal,Men's 20km Race Walk,1
